T09;Public expenditure on education (as of 2021);;;
231;Ethiopia;2002;Public expenditure on education (% of GDP);3.6
231;Ethiopia;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);21.0
231;Ethiopia;2010;All staff compensation as % of total expenditure in public institutions (%);44.8
231;Ethiopia;2010;Capital expenditure as % of total expenditure in public institutions (%);34.1
231;Ethiopia;2010;Public expenditure on education (% of GDP);4.5
231;Ethiopia;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);19.4
231;Ethiopia;2015;All staff compensation as % of total expenditure in public institutions (%);45.2
231;Ethiopia;2015;Capital expenditure as % of total expenditure in public institutions (%);35.4
231;Ethiopia;2015;Public expenditure on education (% of GDP);4.7
231;Ethiopia;2021;Basic access to computers by level of education: Lower secondary;79
231;Ethiopia;2021;Basic access to computers by level of education: Upper secondary;79
231;Ethiopia;2021;Public expenditure on education (% of GDP);4.1
231;Ethiopia;2022;Public expenditure on education (% of GDP);3.7
234;Faroe Islands;2015;Public expenditure on education (% of GDP);7.6
234;Faroe Islands;2020;Public expenditure on education (% of GDP);8.0
242;Fiji;2005;Public expenditure on education (% of GDP);5.2
242;Fiji;2009;Public expenditure on education (% of GDP);4.5
242;Fiji;2013;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);1.2
242;Fiji;2013;All staff compensation as % of total expenditure in public institutions (%);98.7
242;Fiji;2013;Capital expenditure as % of total expenditure in public institutions (%);0.1
242;Fiji;2013;Public expenditure on education (% of GDP);3.9
242;Fiji;2015;Public expenditure on education (% of GDP);4.8
242;Fiji;2021;Public expenditure on education (% of GDP);5.6
246;Finland;2005;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);32.1
246;Finland;2005;All staff compensation as % of total expenditure in public institutions (%);60.9
246;Finland;2005;Capital expenditure as % of total expenditure in public institutions (%);7.0
246;Finland;2005;Basic access to computers by level of education: Primary;100.0
246;Finland;2005;Basic access to computers by level of education: Lower secondary;100
246;Finland;2005;Basic access to computers by level of education: Upper secondary;100
246;Finland;2005;Public expenditure on education (% of GDP);6.0
246;Finland;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);33.6
246;Finland;2010;All staff compensation as % of total expenditure in public institutions (%);60.3
246;Finland;2010;Capital expenditure as % of total expenditure in public institutions (%);6.1
246;Finland;2010;Basic access to computers by level of education: Primary;100.0
246;Finland;2010;Basic access to computers by level of education: Lower secondary;100
246;Finland;2010;Basic access to computers by level of education: Upper secondary;100
246;Finland;2010;Public expenditure on education (% of GDP);6.5
246;Finland;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);34.7
246;Finland;2015;All staff compensation as % of total expenditure in public institutions (%);56.5
246;Finland;2015;Capital expenditure as % of total expenditure in public institutions (%);8.8
246;Finland;2015;Basic access to computers by level of education: Primary;100.0
246;Finland;2015;Basic access to computers by level of education: Lower secondary;100
246;Finland;2015;Basic access to computers by level of education: Upper secondary;100
246;Finland;2015;Public expenditure on education (% of GDP);7.0
246;Finland;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);35.8
246;Finland;2019;All staff compensation as % of total expenditure in public institutions (%);53.7
246;Finland;2019;Capital expenditure as % of total expenditure in public institutions (%);10.5
246;Finland;2019;Basic access to computers by level of education: Primary;100.0
246;Finland;2019;Basic access to computers by level of education: Lower secondary;100
246;Finland;2019;Basic access to computers by level of education: Upper secondary;100
246;Finland;2019;Public expenditure on education (% of GDP);6.4
250;France;2005;Basic access to computers by level of education: Primary;96.0
250;France;2005;Basic access to computers by level of education: Lower secondary;100
250;France;2005;Basic access to computers by level of education: Upper secondary;100
250;France;2005;Public expenditure on education (% of GDP);5.5
250;France;2010;Public expenditure on education (% of GDP);5.6
250;France;2015;Basic access to computers by level of education: Primary;99.0
250;France;2015;Basic access to computers by level of education: Lower secondary;100
250;France;2015;Basic access to computers by level of education: Upper secondary;100
250;France;2015;Public expenditure on education (% of GDP);5.4
250;France;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);16.7
250;France;2019;All staff compensation as % of total expenditure in public institutions (%);74.9
250;France;2019;Capital expenditure as % of total expenditure in public institutions (%);8.5
250;France;2019;Basic access to computers by level of education: Primary;99.0
250;France;2019;Basic access to computers by level of education: Lower secondary;100
250;France;2019;Basic access to computers by level of education: Upper secondary;100
250;France;2019;Public expenditure on education (% of GDP);5.4
266;Gabon;2000;Public expenditure on education (% of GDP);3.8
266;Gabon;2010;Public expenditure on education (% of GDP);3.1
266;Gabon;2014;All staff compensation as % of total expenditure in public institutions (%);45.5
266;Gabon;2014;Public expenditure on education (% of GDP);2.7
266;Gabon;2015;Public expenditure on education (% of GDP);2.8
266;Gabon;2021;Public expenditure on education (% of GDP);3.0
270;Gambia;2005;Public expenditure on education (% of GDP);0.7
270;Gambia;2010;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);10.8
270;Gambia;2010;All staff compensation as % of total expenditure in public institutions (%);46.4
270;Gambia;2010;Capital expenditure as % of total expenditure in public institutions (%);42.8
270;Gambia;2010;Public expenditure on education (% of GDP);2.6
270;Gambia;2012;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);7.4
270;Gambia;2012;All staff compensation as % of total expenditure in public institutions (%);50.4
270;Gambia;2012;Capital expenditure as % of total expenditure in public institutions (%);42.2
270;Gambia;2012;Public expenditure on education (% of GDP);2.6
270;Gambia;2015;Basic access to computers by level of education: Primary;16.9
270;Gambia;2015;Basic access to computers by level of education: Lower secondary;37
270;Gambia;2015;Basic access to computers by level of education: Upper secondary;61
270;Gambia;2015;Public expenditure on education (% of GDP);2.2
270;Gambia;2021;Basic access to computers by level of education: Primary;22.5
270;Gambia;2021;Basic access to computers by level of education: Lower secondary;41
270;Gambia;2021;Basic access to computers by level of education: Upper secondary;57
270;Gambia;2021;Public expenditure on education (% of GDP);2.9
268;Georgia;2005;Public expenditure on education (% of GDP);2.5
268;Georgia;2010;Public expenditure on education (% of GDP);2.8
268;Georgia;2015;Basic access to computers by level of education: Primary;90.3
268;Georgia;2015;Public expenditure on education (% of GDP);3.2
268;Georgia;2021;Basic access to computers by level of education: Primary;100.0
268;Georgia;2021;Basic access to computers by level of education: Lower secondary;100
268;Georgia;2021;Basic access to computers by level of education: Upper secondary;100
268;Georgia;2021;Public expenditure on education (% of GDP);3.6
276;Germany;2005;Public expenditure on education (% of GDP);4.1
276;Germany;2010;Public expenditure on education (% of GDP);5.1
276;Germany;2015;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);20.1
276;Germany;2015;All staff compensation as % of total expenditure in public institutions (%);73.1
276;Germany;2015;Capital expenditure as % of total expenditure in public institutions (%);6.8
276;Germany;2015;Basic access to computers by level of education: Primary;78.1
276;Germany;2015;Public expenditure on education (% of GDP);4.9
276;Germany;2019;Current expenditure other than staff compensation as % of total expenditure in public institutions (%);19.7
