SYB66_329_202310_Labour Force and Unemployment;;;;;
T17;Labour force participation and unemployment;;;;
116;Cambodia;2015;Labour force participation - Male;78.4;
116;Cambodia;2015;Unemployment rate - Male;0.3;
116;Cambodia;2015;Labour force participation - Female;65.0;
116;Cambodia;2015;Unemployment rate - Female;0.5;
116;Cambodia;2023;Labour force participation - Total;75.5;
116;Cambodia;2023;Unemployment rate - Total;0.3;
116;Cambodia;2023;Labour force participation - Male;81.9;
116;Cambodia;2023;Unemployment rate - Male;0.3;
116;Cambodia;2023;Labour force participation - Female;69.4;
116;Cambodia;2023;Unemployment rate - Female;0.4;
120;Cameroon;2005;Labour force participation - Total;81.8;
120;Cameroon;2005;Unemployment rate - Total;4.4;
120;Cameroon;2005;Labour force participation - Male;85.6;
120;Cameroon;2005;Unemployment rate - Male;4.2;
120;Cameroon;2005;Labour force participation - Female;78.1;
120;Cameroon;2005;Unemployment rate - Female;4.6;
120;Cameroon;2010;Labour force participation - Total;76.2;
120;Cameroon;2010;Unemployment rate - Total;4.1;
120;Cameroon;2010;Labour force participation - Male;82.1;
120;Cameroon;2010;Unemployment rate - Male;3.4;
120;Cameroon;2010;Labour force participation - Female;70.5;
120;Cameroon;2010;Unemployment rate - Female;4.9;
120;Cameroon;2015;Labour force participation - Total;72.1;
120;Cameroon;2015;Unemployment rate - Total;3.5;
120;Cameroon;2015;Labour force participation - Male;77.2;
120;Cameroon;2015;Unemployment rate - Male;3.1;
120;Cameroon;2015;Labour force participation - Female;67.0;
120;Cameroon;2015;Unemployment rate - Female;4.1;
120;Cameroon;2023;Labour force participation - Total;71.7;
120;Cameroon;2023;Unemployment rate - Total;4.0;
120;Cameroon;2023;Labour force participation - Male;76.1;
120;Cameroon;2023;Unemployment rate - Male;3.5;
120;Cameroon;2023;Labour force participation - Female;67.4;
120;Cameroon;2023;Unemployment rate - Female;4.6;
124;Canada;2005;Labour force participation - Total;67.1;
124;Canada;2005;Unemployment rate - Total;6.8;
124;Canada;2005;Labour force participation - Male;72.8;
124;Canada;2005;Unemployment rate - Male;7.0;
124;Canada;2005;Labour force participation - Female;61.7;
124;Canada;2005;Unemployment rate - Female;6.5;
124;Canada;2010;Labour force participation - Total;66.9;
124;Canada;2010;Unemployment rate - Total;8.1;
124;Canada;2010;Labour force participation - Male;71.6;
124;Canada;2010;Unemployment rate - Male;8.8;
124;Canada;2010;Labour force participation - Female;62.4;
124;Canada;2010;Unemployment rate - Female;7.2;
124;Canada;2015;Labour force participation - Total;65.8;
124;Canada;2015;Unemployment rate - Total;6.9;
124;Canada;2015;Labour force participation - Male;70.6;
124;Canada;2015;Unemployment rate - Male;7.5;
124;Canada;2015;Labour force participation - Female;61.2;
124;Canada;2015;Unemployment rate - Female;6.3;
124;Canada;2023;Labour force participation - Total;64.3;
124;Canada;2023;Unemployment rate - Total;5.6;
124;Canada;2023;Labour force participation - Male;68.5;
124;Canada;2023;Unemployment rate - Male;5.8;
124;Canada;2023;Labour force participation - Female;60.2;
124;Canada;2023;Unemployment rate - Female;5.4;
136;Cayman Islands;2005;Unemployment rate - Total;3.5;
136;Cayman Islands;2009;Labour force participation - Total;84.2;
136;Cayman Islands;2009;Unemployment rate - Total;6.0;
136;Cayman Islands;2009;Labour force participation - Male;88.0;
136;Cayman Islands;2009;Unemployment rate - Male;7.0;
136;Cayman Islands;2009;Labour force participation - Female;80.6;
136;Cayman Islands;2009;Unemployment rate - Female;5.0;
136;Cayman Islands;2010;Labour force participation - Total;81.8;
136;Cayman Islands;2010;Unemployment rate - Total;6.7;
136;Cayman Islands;2013;Labour force participation - Total;83.1;
136;Cayman Islands;2013;Unemployment rate - Total;6.3;
136;Cayman Islands;2013;Labour force participation - Male;85.6;
136;Cayman Islands;2013;Unemployment rate - Male;6.7;
136;Cayman Islands;2013;Labour force participation - Female;80.6;
136;Cayman Islands;2013;Unemployment rate - Female;5.8;
140;Central African Republic;2005;Labour force participation - Total;70.4;
140;Central African Republic;2005;Unemployment rate - Total;5.3;
140;Central African Republic;2005;Labour force participation - Male;77.4;
140;Central African Republic;2005;Unemployment rate - Male;4.7;
140;Central African Republic;2005;Labour force participation - Female;63.3;
140;Central African Republic;2005;Unemployment rate - Female;6.2;
140;Central African Republic;2010;Labour force participation - Total;70.5;
140;Central African Republic;2010;Unemployment rate - Total;5.5;
140;Central African Republic;2010;Labour force participation - Male;77.9;
140;Central African Republic;2010;Unemployment rate - Male;4.7;
140;Central African Republic;2010;Labour force participation - Female;63.2;
140;Central African Republic;2010;Unemployment rate - Female;6.5;
140;Central African Republic;2015;Labour force participation - Total;70.9;
140;Central African Republic;2015;Unemployment rate - Total;5.7;
140;Central African Republic;2015;Labour force participation - Male;78.8;
140;Central African Republic;2015;Unemployment rate - Male;5.0;
140;Central African Republic;2015;Labour force participation - Female;63.0;
140;Central African Republic;2015;Unemployment rate - Female;6.6;
140;Central African Republic;2023;Labour force participation - Total;70.7;
140;Central African Republic;2023;Unemployment rate - Total;6.3;
140;Central African Republic;2023;Labour force participation - Male;77.7;
140;Central African Republic;2023;Unemployment rate - Male;5.7;
140;Central African Republic;2023;Labour force participation - Female;63.7;
140;Central African Republic;2023;Unemployment rate - Female;7.1;
148;Chad;2005;Labour force participation - Total;66.7;
148;Chad;2005;Unemployment rate - Total;0.9;
148;Chad;2005;Labour force participation - Male;76.6;
148;Chad;2005;Unemployment rate - Male;1.1;
148;Chad;2005;Labour force participation - Female;57.0;
148;Chad;2005;Unemployment rate - Female;0.5;
148;Chad;2010;Labour force participation - Total;64.2;
148;Chad;2010;Unemployment rate - Total;1.0;
148;Chad;2010;Labour force participation - Male;74.8;
148;Chad;2010;Unemployment rate - Male;1.2;
148;Chad;2010;Labour force participation - Female;53.7;
148;Chad;2010;Unemployment rate - Female;0.6;
148;Chad;2015;Labour force participation - Total;61.6;
148;Chad;2015;Unemployment rate - Total;1.1;
148;Chad;2015;Labour force participation - Male;72.8;
148;Chad;2015;Unemployment rate - Male;1.3;
148;Chad;2015;Labour force participation - Female;50.5;
148;Chad;2015;Unemployment rate - Female;0.7;
148;Chad;2023;Labour force participation - Total;59.5;
148;Chad;2023;Unemployment rate - Total;1.3;
148;Chad;2023;Labour force participation - Male;70.8;
148;Chad;2023;Unemployment rate - Male;1.6;
148;Chad;2023;Labour force participation - Female;48.3;
148;Chad;2023;Unemployment rate - Female;1.0;
830;Channel Islands;2005;Labour force participation - Total;60.5;
830;Channel Islands;2005;Unemployment rate - Total;6.3;
830;Channel Islands;2005;Labour force participation - Male;68.9;
830;Channel Islands;2005;Unemployment rate - Male;5.8;
830;Channel Islands;2005;Labour force participation - Female;52.6;
830;Channel Islands;2005;Unemployment rate - Female;6.9;
830;Channel Islands;2010;Labour force participation - Total;60.1;
830;Channel Islands;2010;Unemployment rate - Total;7.6;
830;Channel Islands;2010;Labour force participation - Male;67.9;
830;Channel Islands;2010;Unemployment rate - Male;7.5;
830;Channel Islands;2010;Labour force participation - Female;52.7;
830;Channel Islands;2010;Unemployment rate - Female;7.6;
830;Channel Islands;2015;Labour force participation - Total;59.4;
830;Channel Islands;2015;Unemployment rate - Total;8.6;
830;Channel Islands;2015;Labour force participation - Male;67.4;
830;Channel Islands;2015;Unemployment rate - Male;8.4;
830;Channel Islands;2015;Labour force participation - Female;51.6;
830;Channel Islands;2015;Unemployment rate - Female;8.8;
830;Channel Islands;2023;Labour force participation - Total;58.6;
830;Channel Islands;2023;Unemployment rate - Total;7.4;
830;Channel Islands;2023;Labour force participation - Male;65.6;
830;Channel Islands;2023;Unemployment rate - Male;7.0;
830;Channel Islands;2023;Labour force participation - Female;51.9;
830;Channel Islands;2023;Unemployment rate - Female;7.8;
152;Chile;2005;Labour force participation - Total;55.7;
152;Chile;2005;Unemployment rate - Total;9.3;
152;Chile;2005;Labour force participation - Male;71.8;
152;Chile;2005;Unemployment rate - Male;7.6;
152;Chile;2005;Labour force participation - Female;40.2;
152;Chile;2005;Unemployment rate - Female;12.3;
152;Chile;2010;Labour force participation - Total;58.7;
152;Chile;2010;Unemployment rate - Total;8.4;
152;Chile;2010;Labour force participation - Male;72.3;
152;Chile;2010;Unemployment rate - Male;7.4;
152;Chile;2010;Labour force participation - Female;45.5;
152;Chile;2010;Unemployment rate - Female;9.9;
152;Chile;2015;Labour force participation - Total;59.9;
152;Chile;2015;Unemployment rate - Total;6.5;
152;Chile;2015;Labour force participation - Male;71.7;
152;Chile;2015;Unemployment rate - Male;6.0;
152;Chile;2015;Labour force participation - Female;48.4;
152;Chile;2015;Unemployment rate - Female;7.1;
152;Chile;2023;Labour force participation - Total;58.0;
152;Chile;2023;Unemployment rate - Total;8.5;
152;Chile;2023;Labour force participation - Male;68.4;
152;Chile;2023;Unemployment rate - Male;8.0;
152;Chile;2023;Labour force participation - Female;47.9;
152;Chile;2023;Unemployment rate - Female;9.3;
156;China;2005;Labour force participation - Total;74.0;
156;China;2005;Unemployment rate - Total;4.5;
156;China;2005;Labour force participation - Male;80.6;
156;China;2005;Unemployment rate - Male;5.0;
156;China;2005;Labour force participation - Female;67.2;
156;China;2005;Unemployment rate - Female;3.9;
156;China;2010;Labour force participation - Total;71.0;
156;China;2010;Unemployment rate - Total;4.5;
156;China;2010;Labour force participation - Male;78.1;
156;China;2010;Unemployment rate - Male;5.0;
156;China;2010;Labour force participation - Female;63.7;
156;China;2010;Unemployment rate - Female;3.9;
156;China;2015;Labour force participation - Total;69.3;
156;China;2015;Unemployment rate - Total;4.7;
156;China;2015;Labour force participation - Male;75.8;
156;China;2015;Unemployment rate - Male;5.1;
156;China;2015;Labour force participation - Female;62.7;
156;China;2015;Unemployment rate - Female;4.0;
156;China;2023;Labour force participation - Total;66.2;
156;China;2023;Unemployment rate - Total;4.6;
156;China;2023;Labour force participation - Male;72.0;
156;China;2023;Unemployment rate - Male;5.2;
156;China;2023;Labour force participation - Female;60.4;
156;China;2023;Unemployment rate - Female;4.0;
344;China, Hong Kong SAR;2005;Labour force participation - Total;61.0;
344;China, Hong Kong SAR;2005;Unemployment rate - Total;5.6;
344;China, Hong Kong SAR;2005;Labour force participation - Male;71.0;
344;China, Hong Kong SAR;2005;Unemployment rate - Male;6.5;
344;China, Hong Kong SAR;2005;Labour force participation - Female;51.9;
344;China, Hong Kong SAR;2005;Unemployment rate - Female;4.4;
344;China, Hong Kong SAR;2010;Labour force participation - Total;59.6;
344;China, Hong Kong SAR;2010;Unemployment rate - Total;4.3;
344;China, Hong Kong SAR;2010;Labour force participation - Male;68.5;
344;China, Hong Kong SAR;2010;Unemployment rate - Male;5.1;
344;China, Hong Kong SAR;2010;Labour force participation - Female;51.9;
344;China, Hong Kong SAR;2010;Unemployment rate - Female;3.5;
344;China, Hong Kong SAR;2015;Labour force participation - Total;61.1;
344;China, Hong Kong SAR;2015;Unemployment rate - Total;3.3;
344;China, Hong Kong SAR;2015;Labour force participation - Male;68.8;
344;China, Hong Kong SAR;2015;Unemployment rate - Male;3.4;
344;China, Hong Kong SAR;2015;Labour force participation - Female;54.7;
344;China, Hong Kong SAR;2015;Unemployment rate - Female;3.2;
344;China, Hong Kong SAR;2023;Labour force participation - Total;58.5;
344;China, Hong Kong SAR;2023;Unemployment rate - Total;4.8;
344;China, Hong Kong SAR;2023;Labour force participation - Male;64.8;
344;China, Hong Kong SAR;2023;Unemployment rate - Male;5.7;
344;China, Hong Kong SAR;2023;Labour force participation - Female;53.4;
344;China, Hong Kong SAR;2023;Unemployment rate - Female;3.9;
446;China, Macao SAR;2005;Labour force participation - Total;63.6;
446;China, Macao SAR;2005;Unemployment rate - Total;4.2;
446;China, Macao SAR;2005;Labour force participation - Male;71.2;
446;China, Macao SAR;2005;Unemployment rate - Male;4.4;
446;China, Macao SAR;2005;Labour force participation - Female;56.9;
446;China, Macao SAR;2005;Unemployment rate - Female;3.8;
446;China, Macao SAR;2010;Labour force participation - Total;69.8;
446;China, Macao SAR;2010;Unemployment rate - Total;2.8;
446;China, Macao SAR;2010;Labour force participation - Male;75.9;
446;China, Macao SAR;2010;Unemployment rate - Male;3.6;
446;China, Macao SAR;2010;Labour force participation - Female;64.3;
446;China, Macao SAR;2010;Unemployment rate - Female;2.1;
446;China, Macao SAR;2015;Labour force participation - Total;70.6;
446;China, Macao SAR;2015;Unemployment rate - Total;1.8;
446;China, Macao SAR;2015;Labour force participation - Male;76.0;
446;China, Macao SAR;2015;Unemployment rate - Male;2.0;
446;China, Macao SAR;2015;Labour force participation - Female;65.9;
446;China, Macao SAR;2015;Unemployment rate - Female;1.6;
446;China, Macao SAR;2023;Labour force participation - Total;68.7;
446;China, Macao SAR;2023;Unemployment rate - Total;1.9;
446;China, Macao SAR;2023;Labour force participation - Male;74.4;
446;China, Macao SAR;2023;Unemployment rate - Male;2.2;
446;China, Macao SAR;2023;Labour force participation - Female;63.8;
446;China, Macao SAR;2023;Unemployment rate - Female;1.6;
170;Colombia;2005;Labour force participation - Total;65.9;
170;Colombia;2005;Unemployment rate - Total;11.9;
170;Colombia;2005;Labour force participation - Male;80.5;
170;Colombia;2005;Unemployment rate - Male;9.1;
170;Colombia;2005;Labour force participation - Female;52.0;
170;Colombia;2005;Unemployment rate - Female;15.9;
170;Colombia;2010;Labour force participation - Total;67.8;
170;Colombia;2010;Unemployment rate - Total;11.0;
170;Colombia;2010;Labour force participation - Male;80.8;
170;Colombia;2010;Unemployment rate - Male;8.7;
170;Colombia;2010;Labour force participation - Female;55.3;
170;Colombia;2010;Unemployment rate - Female;14.2;
170;Colombia;2015;Labour force participation - Total;69.5;
170;Colombia;2015;Unemployment rate - Total;8.3;
170;Colombia;2015;Labour force participation - Male;81.4;
170;Colombia;2015;Unemployment rate - Male;6.4;
170;Colombia;2015;Labour force participation - Female;58.1;
170;Colombia;2015;Unemployment rate - Female;10.9;
170;Colombia;2023;Labour force participation - Total;63.7;
170;Colombia;2023;Unemployment rate - Total;10.6;
170;Colombia;2023;Labour force participation - Male;76.2;
170;Colombia;2023;Unemployment rate - Male;8.5;
170;Colombia;2023;Labour force participation - Female;51.9;
170;Colombia;2023;Unemployment rate - Female;13.5;
174;Comoros;2005;Labour force participation - Total;41.7;
174;Comoros;2005;Unemployment rate - Total;4.9;
174;Comoros;2005;Labour force participation - Male;51.4;
174;Comoros;2005;Unemployment rate - Male;4.6;
174;Comoros;2005;Labour force participation - Female;32.6;
174;Comoros;2005;Unemployment rate - Female;5.4;
174;Comoros;2010;Labour force participation - Total;43.2;
174;Comoros;2010;Unemployment rate - Total;6.7;
174;Comoros;2010;Labour force participation - Male;54.2;
174;Comoros;2010;Unemployment rate - Male;5.7;
174;Comoros;2010;Labour force participation - Female;32.6;
174;Comoros;2010;Unemployment rate - Female;8.2;
174;Comoros;2015;Labour force participation - Total;44.4;
174;Comoros;2015;Unemployment rate - Total;8.1;
174;Comoros;2015;Labour force participation - Male;56.2;
174;Comoros;2015;Unemployment rate - Male;6.7;
174;Comoros;2015;Labour force participation - Female;32.8;
